datetime,Flow_metersCubedPerSecond_1,Water_Temperature_celsius_1,Salinity_practicalSalinityUnits_1
1991-01-01,24.4582777777776,6.52914855213123,0
1991-01-02,13.1110092592592,9.60817536854245,0
1991-01-03,16.0428703703706,9.62214113754296,0
1991-01-04,21.4041111111111,8.05353291925212,0
1991-01-05,22.1287407407409,7.95462152313794,0
1991-01-06,22.5180833333329,8.09436638620153,0
1991-01-07,15.6314814814817,7.65883320395533,0
1991-01-08,10.1481574074073,7.37960979699866,0
1991-01-09,10.6065740740741,7.6506770332136,0
1991-01-10,11.709990740741,8.39747630760898,0
1991-01-11,16.2367870370368,8.71782401568757,0
1991-01-12,19.6168518518521,8.47292034306426,0
1991-01-13,14.175157407407,7.75094663828669,0
1991-01-14,10.2290833333333,6.6009374697788,0
1991-01-15,6.61245370370385,5.24170827559629,0
1991-01-16,5.39103703703715,4.10651277114879,0
1991-01-17,4.24877777777748,4,0
1991-01-18,3.65850000000019,4,0
1991-01-19,2.8404907407407,4,0
1991-01-20,3.55354629629604,4,0
1991-01-21,3.76588888888919,4,0
1991-01-22,2.83105555555545,4.32994856296057,0
1991-01-23,1.982138888889,4.31098735394199,0
1991-01-24,1.78650000000019,4.19392427439377,0
1991-01-25,1.53929629629591,4.07039639114629,0
1991-01-26,1.6512500000003,4,0
1991-01-27,1.21477777777754,4,0
1991-01-28,0.667768518518454,4,0
1991-01-29,0.592629629629716,4,0
1991-01-30,0.485416666666688,4,0
1991-01-31,0.309499999999892,4,0
1991-02-01,0.253370370370737,4,0
1991-02-02,0.360481481481309,4,0
1991-02-03,0.371666666666667,4,0
1991-02-04,0.384666666666667,4,0
1991-02-05,0.435287037037123,4,0
1991-02-06,0.0521388888886088,4,0
1991-02-07,0.246000000000388,4,0
1991-02-08,0.239194444444164,4,0
1991-02-09,0.33062037037037,4,0
1991-02-10,0.262435185185099,4,0
1991-02-11,0.216527777778037,4,0
1991-02-12,0.144898148148148,4,0
1991-02-13,0.185879629629457,4,0
1991-02-14,0.51412962962963,4,0
1991-02-15,0.481203703703704,4,0
1991-02-16,0.352777777777951,4,0
1991-02-17,0,4,0
1991-02-18,0.28211111111096,4,0
1991-02-19,0.535018518518756,4,0
1991-02-20,0.769666666666581,4,0
1991-02-21,1.04444444444429,4,0
1991-02-22,2.47788888888889,4.86268973750479,0
1991-02-23,8.04120370370394,6.23289921303349,0
1991-02-24,9.30357407407399,7.47160700357025,0
1991-02-25,5.89594444444444,7.97094853485619,0
1991-02-26,4.72095370370383,8.15871479128104,0
1991-02-27,3.83684259259255,7.99448680935723,0
1991-02-28,2.18977777777778,7.13535464329347,0
1991-03-01,1.94688888888904,6.49266129553544,0
1991-03-02,1.90918518518495,6.195525592326,0
1991-03-03,1.92616666666658,6.32390822966294,0
1991-03-04,1.86872222222194,6.6295040577976,0
1991-03-05,1.84031481481494,7.65311045441402,0
1991-03-06,1.89305555555579,8.66184558698099,0
1991-03-07,1.73120370370379,9.74570737075742,0
1991-03-08,1.69679629629621,10.4013728318612,0
1991-03-09,1.11679629629638,10.9513387730966,0
1991-03-10,1.01594444444436,11.2615600765656,0
1991-03-11,1.16136111111124,11.103019378463,0
1991-03-12,0.594759259259044,10.8553424344491,0
1991-03-13,1.20910185185185,10.8241538362042,0
1991-03-14,1.52230555555564,11.1805171943396,0
1991-03-15,1.46362962962946,11.2393142077631,0
1991-03-16,1.25289814814847,11.5513899374086,0
1991-03-17,1.15750925925902,11.6428404518715,0
1991-03-18,1.64482407407425,11.4163413579171,0
1991-03-19,2.76575925925909,11.0453825915528,0
1991-03-20,2.6726851851851,11.0979784601652,0
1991-03-21,9.10109259259277,10.8691214378549,0
1991-03-22,10.4056018518517,10.3354593736977,0
1991-03-23,8.60579629629643,9.91038672454992,0
1991-03-24,6.61959259259283,9.559443911615,0
1991-03-25,4.85261111111102,8.72008418820338,0
1991-03-26,3.57365740740708,8.02166697407364,0
1991-03-27,2.63225925925937,7.91882683221169,0
1991-03-28,2.48166666666703,7.70843215810849,0
1991-03-29,2.08238888888863,7.19627813859432,0
1991-03-30,2.02977777777778,6.86676971156105,0
